Employee,SaleTime,Amount
Orxan,2026-07-27 08:32,56.07
Nurlan,2026-07-27 08:35,101.02
Amina,2026-07-27 08:37,96.96
Amina,2026-07-27 08:39,106.15
Ali,2026-07-27 08:40,147.82
Kamran,2026-07-27 08:42,157.42
Nurlan,2026-07-27 08:42,151.82
Tural,2026-07-27 08:49,54.05
Kamran,2026-07-27 08:51,144.57
Amina,2026-07-27 08:55,153.05
Orxan,2026-07-27 08:59,51.72
Tural,2026-07-27 09:09,109.26
Ali,2026-07-27 09:16,150.17
Ali,2026-07-27 09:17,115.06
Tural,2026-07-27 09:24,91.57
Ali,2026-07-27 09:26,50.24
Amina,2026-07-27 09:26,99.19
Orxan,2026-07-27 09:28,87.33
Amina,2026-07-27 09:29,70.36
Kamran,2026-07-27 09:40,149.59
Kamran,2026-07-27 09:41,178.85
Amina,2026-07-27 09:42,52.12
Kamran,2026-07-27 09:44,177.36
Orxan,2026-07-27 09:44,83.13
Nurlan,2026-07-27 09:47,118.82
Ali,2026-07-27 09:49,68.66
Ali,2026-07-27 09:50,44.13
Ali,2026-07-27 09:50,84.23
Kamran,2026-07-27 09:51,195.73
Nurlan,2026-07-27 09:54,79.7
Kamran,2026-07-27 09:55,168.34
Tural,2026-07-27 09:56,164.9
Orxan,2026-07-27 09:58,71.37
Kamran,2026-07-27 09:59,211.97
Emin,2026-07-27 10:00,50.07
Nurlan,2026-07-27 10:00,84.29
Kamran,2026-07-27 10:05,151.21
Kamran,2026-07-27 10:06,149.68
Nurlan,2026-07-27 10:06,158.11
Nurlan,2026-07-27 10:06,129.62
Orxan,2026-07-27 10:11,55.98
Amina,2026-07-27 10:12,163.12
Nurlan,2026-07-27 10:16,77.86
Emin,2026-07-27 10:19,98.51
Amina,2026-07-27 10:23,167.43
Amina,2026-07-27 10:24,84.87
Kamran,2026-07-27 10:25,152.38
Nurlan,2026-07-27 10:28,49.63
Amina,2026-07-27 10:32,161.24
Ali,2026-07-27 10:35,118.26
Emin,2026-07-27 10:35,95.48
Tural,2026-07-27 10:36,124.18
Orxan,2026-07-27 10:38,58.98
Orxan,2026-07-27 10:39,41.94
Kamran,2026-07-27 10:40,159.04
Ali,2026-07-27 10:52,56.23
Kamran,2026-07-27 10:54,150.58
Kamran,2026-07-27 10:55,206.88
Kamran,2026-07-27 10:56,144.88
Ali,2026-07-27 10:57,51.3
Emin,2026-07-27 10:59,97.97
Amina,2026-07-27 11:00,41.78
Amina,2026-07-27 11:01,139.17
Kamran,2026-07-27 11:03,192.95
Emin,2026-07-27 11:05,117.41
Ali,2026-07-27 11:06,65.85
Nurlan,2026-07-27 11:07,163.39
Tural,2026-07-27 11:09,141.74
Kamran,2026-07-27 11:11,186.1
Kamran,2026-07-27 11:11,159.7
Orxan,2026-07-27 11:14,46.4
Tural,2026-07-27 11:14,128.06
Kamran,2026-07-27 11:19,178.14
Amina,2026-07-27 11:20,115.39
Ali,2026-07-27 11:21,76.16
Tural,2026-07-27 11:23,129.78
Kamran,2026-07-27 11:24,143.18
Orxan,2026-07-27 11:25,61.07
Amina,2026-07-27 11:27,106.07
Ali,2026-07-27 11:29,74.39
Tural,2026-07-27 11:30,118.94
Amina,2026-07-27 11:32,143.91
Emin,2026-07-27 11:34,145.95
Ali,2026-07-27 11:37,155.11
Nurlan,2026-07-27 11:39,47.83
Emin,2026-07-27 11:42,71.1
Tural,2026-07-27 11:42,71.57
Nurlan,2026-07-27 11:43,129.24
Kamran,2026-07-27 11:44,144.71
Tural,2026-07-27 11:47,155.9
Emin,2026-07-27 11:48,76.05
Amina,2026-07-27 11:53,148.18
Ali,2026-07-27 11:54,131.17
Kamran,2026-07-27 11:56,218.73
Orxan,2026-07-27 12:00,46.59
Amina,2026-07-27 12:00,103.65
Ali,2026-07-27 12:01,69.63
Tural,2026-07-27 12:01,88.17
Emin,2026-07-27 12:04,109.05
Kamran,2026-07-27 12:05,178.83
Kamran,2026-07-27 12:06,191.99
Kamran,2026-07-27 12:08,208.95
Ali,2026-07-27 12:09,136.29
Emin,2026-07-27 12:20,107.33
Tural,2026-07-27 12:20,140.42
Amina,2026-07-27 12:20,71.04
Amina,2026-07-27 12:21,103.01
Ali,2026-07-27 12:24,49.04
Amina,2026-07-27 12:27,60.59
Kamran,2026-07-27 12:29,164.94
Tural,2026-07-27 12:30,65.78
Amina,2026-07-27 12:36,78.81
Kamran,2026-07-27 12:37,167.14
Orxan,2026-07-27 12:37,82.19
Kamran,2026-07-27 12:38,195.19
Kamran,2026-07-27 12:38,144.33
Kamran,2026-07-27 12:38,219.63
Nurlan,2026-07-27 12:44,52.9
Tural,2026-07-27 12:48,133.39
Emin,2026-07-27 12:50,72.14
Nurlan,2026-07-27 12:51,103.81
Emin,2026-07-27 12:52,155.89
Ali,2026-07-27 12:56,83.76
Nurlan,2026-07-27 12:56,67.01
Tural,2026-07-27 12:58,87.96
Nurlan,2026-07-27 13:03,107.93
Emin,2026-07-27 13:04,107.77
Tural,2026-07-27 13:04,146.51
Emin,2026-07-27 13:05,95.27
Kamran,2026-07-27 13:08,176.4
Orxan,2026-07-27 13:10,77.08
Amina,2026-07-27 13:10,106.01
Nurlan,2026-07-27 13:11,120.39
Tural,2026-07-27 13:19,55.74
Ali,2026-07-27 13:20,60.76
Kamran,2026-07-27 13:21,172.56
Orxan,2026-07-27 13:28,82.72
Nurlan,2026-07-27 13:28,48.49
Amina,2026-07-27 13:28,40.33
Tural,2026-07-27 13:29,103.73
Amina,2026-07-27 13:39,158.68
Orxan,2026-07-27 13:40,67.17
Kamran,2026-07-27 13:43,158.91
Emin,2026-07-27 13:43,55.78
Tural,2026-07-27 13:44,128.95
Kamran,2026-07-27 13:45,182.49
Amina,2026-07-27 13:46,93.94
Orxan,2026-07-27 13:48,63.24
Kamran,2026-07-27 13:49,166.43
Kamran,2026-07-27 13:50,148.74
Kamran,2026-07-27 13:50,208.48
Nurlan,2026-07-27 13:50,102.1
Orxan,2026-07-27 13:51,79.1
Ali,2026-07-27 13:54,40.84
Nurlan,2026-07-27 13:56,41.59
Nigar,2026-07-27 14:04,126.82
Nigar,2026-07-27 14:05,99.58
Leyla,2026-07-27 14:06,167.62
Gunel,2026-07-27 14:09,52.1
Elnur,2026-07-27 14:15,90.55
Gunel,2026-07-27 14:15,104.26
Kanan,2026-07-27 14:15,45.98
Leyla,2026-07-27 14:17,176.35
Leyla,2026-07-27 14:30,136.03
Leyla,2026-07-27 14:34,146.93
Elnur,2026-07-27 14:35,93.93
Kanan,2026-07-27 14:37,70.52
Aysel,2026-07-27 14:38,163.35
Laman,2026-07-27 14:38,129.36
Laman,2026-07-27 14:38,47.75
Nigar,2026-07-27 14:40,109.89
Kanan,2026-07-27 14:40,101.03
Leyla,2026-07-27 14:43,179.87
Kanan,2026-07-27 14:43,150.73
Elnur,2026-07-27 14:44,57.99
Gunel,2026-07-27 14:46,71.38
Gunel,2026-07-27 14:47,76.26
Leyla,2026-07-27 14:49,172.9
Laman,2026-07-27 14:49,69.76
Kanan,2026-07-27 14:54,153.64
Nigar,2026-07-27 15:03,155.66
Kanan,2026-07-27 15:08,105.3
Aysel,2026-07-27 15:09,64.94
Leyla,2026-07-27 15:15,155.67
Kanan,2026-07-27 15:18,93.3
Elnur,2026-07-27 15:23,131.83
Nigar,2026-07-27 15:26,96.96
Leyla,2026-07-27 15:29,152.36
Kanan,2026-07-27 15:30,130.22
Aysel,2026-07-27 15:35,120.02
Gunel,2026-07-27 15:36,135.39
Aysel,2026-07-27 15:47,87.35
Nigar,2026-07-27 15:51,129.37
Leyla,2026-07-27 15:55,183.92
Nigar,2026-07-27 15:55,133.29
Gunel,2026-07-27 15:55,86.13
Leyla,2026-07-27 15:59,167.92
Elnur,2026-07-27 16:00,103.47
Laman,2026-07-27 16:02,124.19
Kanan,2026-07-27 16:04,137.08
Elnur,2026-07-27 16:06,89.79
Elnur,2026-07-27 16:08,75.32
Nigar,2026-07-27 16:13,88.04
Gunel,2026-07-27 16:21,84.24
Nigar,2026-07-27 16:22,66.55
Leyla,2026-07-27 16:23,172.29
Leyla,2026-07-27 16:24,129.77
Laman,2026-07-27 16:24,142.42
Kanan,2026-07-27 16:24,84.01
Nigar,2026-07-27 16:25,91.45
Laman,2026-07-27 16:25,147.46
Leyla,2026-07-27 16:27,189.27
Nigar,2026-07-27 16:28,76.63
Laman,2026-07-27 16:28,105.06
Elnur,2026-07-27 16:29,96.66
Gunel,2026-07-27 16:30,112.25
Leyla,2026-07-27 16:31,151.74
Laman,2026-07-27 16:37,131.9
Laman,2026-07-27 16:37,97.09
Aysel,2026-07-27 16:44,92.79
Leyla,2026-07-27 16:51,134.88
Kanan,2026-07-27 16:52,121.48
Elnur,2026-07-27 16:54,156.09
Gunel,2026-07-27 16:57,63.64
Aysel,2026-07-27 17:00,121.01
Elnur,2026-07-27 17:00,110.54
Nigar,2026-07-27 17:10,154.51
Elnur,2026-07-27 17:12,78.82
Leyla,2026-07-27 17:22,144.87
Elnur,2026-07-27 17:32,150.95
Leyla,2026-07-27 17:38,145.34
Leyla,2026-07-27 17:39,138.74
Gunel,2026-07-27 17:41,103.52
Aysel,2026-07-27 17:43,82.4
Kanan,2026-07-27 17:44,45.67
Elnur,2026-07-27 17:47,48.09
Laman,2026-07-27 17:52,54.92
Leyla,2026-07-27 17:53,182.85
Laman,2026-07-27 17:55,135.49
Gunel,2026-07-27 17:57,147.35
Kanan,2026-07-27 17:57,167.18
Kanan,2026-07-27 18:00,52.96
Gunel,2026-07-27 18:06,71.7
Nigar,2026-07-27 18:09,81.1
Kanan,2026-07-27 18:09,42.0
Gunel,2026-07-27 18:13,114.08
Laman,2026-07-27 18:15,129.53
Elnur,2026-07-27 18:20,40.77
Gunel,2026-07-27 18:20,123.97
Gunel,2026-07-27 18:28,98.26
Laman,2026-07-27 18:29,96.91
Kanan,2026-07-27 18:30,165.43
Leyla,2026-07-27 18:32,147.69
Nigar,2026-07-27 18:36,74.48
Aysel,2026-07-27 18:36,80.21
Gunel,2026-07-27 18:42,163.25
Aysel,2026-07-27 18:43,160.32
Leyla,2026-07-27 18:48,137.6
Leyla,2026-07-27 18:51,171.04
Kanan,2026-07-27 18:51,89.4
Aysel,2026-07-27 18:54,129.29
Kanan,2026-07-27 18:55,44.67
Nigar,2026-07-27 18:56,131.46
Leyla,2026-07-27 19:02,180.25
Nigar,2026-07-27 19:02,78.92
Nigar,2026-07-27 19:07,169.49
Nigar,2026-07-27 19:08,107.96
Leyla,2026-07-27 19:09,181.35
Kanan,2026-07-27 19:22,83.16
Gunel,2026-07-27 19:23,74.89
Leyla,2026-07-27 19:25,189.73
Gunel,2026-07-27 19:25,131.15
Laman,2026-07-27 19:26,45.18
Laman,2026-07-27 19:29,72.55
Leyla,2026-07-27 19:32,164.45
Nigar,2026-07-27 19:34,167.9
Laman,2026-07-27 19:41,116.67
Leyla,2026-07-27 19:42,131.2
Leyla,2026-07-27 19:49,168.17
Leyla,2026-07-27 19:51,152.12
Gunel,2026-07-27 19:55,75.11
Kanan,2026-07-27 19:56,167.51
Kanan,2026-07-27 19:57,166.09
Nigar,2026-07-27 20:02,53.47
Aysel,2026-07-27 20:02,150.24
Kanan,2026-07-27 20:02,143.01
Aysel,2026-07-27 20:03,162.25
Gunel,2026-07-27 20:04,89.27
Elnur,2026-07-27 20:05,128.29
Leyla,2026-07-27 20:06,138.69
Nigar,2026-07-27 20:06,123.92
Aysel,2026-07-27 20:09,137.26
Leyla,2026-07-27 20:11,149.55
Leyla,2026-07-27 20:13,165.36
Kanan,2026-07-27 20:13,159.72
Kanan,2026-07-27 20:18,91.67
Elnur,2026-07-27 20:19,42.54
Aysel,2026-07-27 20:20,78.44
Laman,2026-07-27 20:22,92.33
Laman,2026-07-27 20:23,151.75
Gunel,2026-07-27 20:26,59.89
Aysel,2026-07-27 20:27,96.69
Nigar,2026-07-27 20:31,80.84
Aysel,2026-07-27 20:33,157.01
Nigar,2026-07-27 20:45,111.92
Aysel,2026-07-27 20:45,135.81
Leyla,2026-07-27 20:46,159.3
Kanan,2026-07-27 20:46,101.49
Elnur,2026-07-27 20:48,135.5
Laman,2026-07-27 20:49,147.15
Nigar,2026-07-27 20:50,161.65
Farid,2026-07-27 20:51,147.82
Gunel,2026-07-27 20:54,71.24
Kanan,2026-07-27 20:54,103.43
Kanan,2026-07-27 20:55,122.39
Elnur,2026-07-27 20:58,114.84
Elnur,2026-07-27 21:00,115.93
Gunel,2026-07-27 21:03,102.85
Laman,2026-07-27 21:12,79.99
Farid,2026-07-27 21:13,157.69
Elnur,2026-07-27 21:16,118.42
Laman,2026-07-27 21:19,161.38
Nigar,2026-07-27 21:20,125.02
Gunel,2026-07-27 21:21,159.55
Kanan,2026-07-27 21:23,89.56
Elnur,2026-07-27 21:34,94.62
Leyla,2026-07-27 21:35,145.54
Aysel,2026-07-27 21:35,40.05
Elnur,2026-07-27 21:36,94.47
Farid,2026-07-27 21:39,52.0
Leyla,2026-07-27 21:40,173.78
Nigar,2026-07-27 21:45,74.32
Gunel,2026-07-27 21:45,71.91
Kanan,2026-07-27 21:45,127.67
Leyla,2026-07-27 21:50,127.68
Leyla,2026-07-27 21:53,127.07
Kanan,2026-07-27 21:56,53.07
Nigar,2026-07-27 21:59,57.46
Murad,2026-07-27 22:00,151.93
Ramin,2026-07-27 22:00,125.5
Rashad,2026-07-27 22:03,156.05
Sabina,2026-07-27 22:10,137.37
Sabina,2026-07-27 22:16,163.45
Farid,2026-07-27 22:21,156.86
Farid,2026-07-27 22:22,80.07
Farid,2026-07-27 22:24,40.46
Sabina,2026-07-27 22:27,73.82
Sabina,2026-07-27 22:28,169.99
Elvin,2026-07-27 22:29,111.94
Ramin,2026-07-27 22:29,64.39
Sabina,2026-07-27 22:37,141.56
Rashad,2026-07-27 22:39,99.2
Murad,2026-07-27 22:43,116.0
Ramin,2026-07-27 22:48,80.89
Elvin,2026-07-27 22:54,148.24
Ramin,2026-07-27 22:57,151.51
Murad,2026-07-27 22:58,170.94
Farid,2026-07-27 23:01,49.78
Sabina,2026-07-27 23:02,113.32
Murad,2026-07-27 23:08,118.99
Sabina,2026-07-27 23:08,101.56
Farid,2026-07-27 23:20,95.87
Rashad,2026-07-27 23:20,43.18
Rashad,2026-07-27 23:20,125.29
Murad,2026-07-27 23:23,136.17
Murad,2026-07-27 23:28,147.76
Murad,2026-07-27 23:30,128.55
Elvin,2026-07-27 23:37,79.29
Ramin,2026-07-27 23:39,169.6
Elvin,2026-07-27 23:44,68.13
Elvin,2026-07-27 23:45,81.02
Sabina,2026-07-27 23:48,149.1
Farid,2026-07-27 23:54,128.67
Rashad,2026-07-27 23:54,95.89
Murad,2026-07-27 23:55,175.02
Sabina,2026-07-27 23:59,100.45
Rashad,2026-07-28 00:02,144.85
Elvin,2026-07-28 00:05,55.69
Rashad,2026-07-28 00:08,127.46
Farid,2026-07-28 00:09,152.4
Murad,2026-07-28 00:10,114.05
Rashad,2026-07-28 00:13,167.91
Murad,2026-07-28 00:23,178.03
Farid,2026-07-28 00:23,61.01
Ramin,2026-07-28 00:25,111.4
Elvin,2026-07-28 00:27,79.86
Ramin,2026-07-28 00:27,114.91
Elvin,2026-07-28 00:29,45.92
Murad,2026-07-28 00:40,140.43
Elvin,2026-07-28 00:41,69.57
Murad,2026-07-28 00:42,168.92
Elvin,2026-07-28 00:47,126.31
Rashad,2026-07-28 00:55,100.45
Ramin,2026-07-28 00:56,55.07
Sabina,2026-07-28 00:58,67.52
Sabina,2026-07-28 00:58,83.88
Ramin,2026-07-28 01:00,93.51
Ramin,2026-07-28 01:02,81.74
Sabina,2026-07-28 01:11,69.15
Elvin,2026-07-28 01:12,131.37
Ramin,2026-07-28 01:17,120.94
Murad,2026-07-28 01:18,171.51
Farid,2026-07-28 01:21,115.73
Elvin,2026-07-28 01:21,101.52
Sabina,2026-07-28 01:27,76.17
Sabina,2026-07-28 01:35,116.95
Ramin,2026-07-28 01:38,145.76
Elvin,2026-07-28 01:40,129.93
Farid,2026-07-28 01:45,43.22
Farid,2026-07-28 01:53,112.92
Ramin,2026-07-28 01:58,122.52
Farid,2026-07-28 02:01,111.72
Rashad,2026-07-28 02:01,127.83
Ramin,2026-07-28 02:01,159.09
Murad,2026-07-28 02:07,110.23
Sabina,2026-07-28 02:15,159.54
Ramin,2026-07-28 02:16,107.47
Ramin,2026-07-28 02:16,85.23
Murad,2026-07-28 02:19,176.28
Elvin,2026-07-28 02:24,75.94
Murad,2026-07-28 02:25,167.12
Murad,2026-07-28 02:26,111.36
Ramin,2026-07-28 02:28,165.98
Rashad,2026-07-28 02:29,91.95
Ramin,2026-07-28 02:30,77.47
Ramin,2026-07-28 02:32,121.3
Murad,2026-07-28 02:37,152.63
Rashad,2026-07-28 02:39,101.51
Rashad,2026-07-28 02:41,126.3
Ramin,2026-07-28 02:41,147.24
Elvin,2026-07-28 02:46,117.58
Elvin,2026-07-28 02:49,84.69
Ramin,2026-07-28 02:56,100.06
Farid,2026-07-28 02:57,44.68
Ramin,2026-07-28 03:00,44.77
Rashad,2026-07-28 03:16,118.87
Ramin,2026-07-28 03:20,163.6
Elvin,2026-07-28 03:21,166.96
Rashad,2026-07-28 03:33,150.47
Farid,2026-07-28 03:38,137.43
Rashad,2026-07-28 03:38,83.57
Sabina,2026-07-28 03:39,109.44
Sabina,2026-07-28 03:39,59.81
Rashad,2026-07-28 03:43,114.84
Murad,2026-07-28 03:50,133.81
Sabina,2026-07-28 03:51,95.72
Sabina,2026-07-28 03:55,45.23
Rashad,2026-07-28 03:59,51.02
Sabina,2026-07-28 04:02,43.52
Farid,2026-07-28 04:04,53.36
Murad,2026-07-28 04:12,171.94
Farid,2026-07-28 04:17,157.51
Elvin,2026-07-28 04:26,109.44
Rashad,2026-07-28 04:32,130.53
Murad,2026-07-28 04:34,171.31
Sabina,2026-07-28 04:35,61.46
Farid,2026-07-28 04:42,160.18
Elvin,2026-07-28 04:45,109.66
Elvin,2026-07-28 04:47,111.55
Murad,2026-07-28 04:50,128.68
Murad,2026-07-28 04:55,147.29
Ramin,2026-07-28 04:55,46.71
Murad,2026-07-28 04:56,122.51
Elvin,2026-07-28 04:56,129.72
Ramin,2026-07-28 04:56,138.31
Ramin,2026-07-28 04:57,127.4
Farid,2026-07-28 05:01,57.01
Ramin,2026-07-28 05:01,92.54
Murad,2026-07-28 05:05,174.57
Farid,2026-07-28 05:06,112.78
Farid,2026-07-28 05:14,166.39
Rashad,2026-07-28 05:14,135.67
Farid,2026-07-28 05:16,145.4
Rashad,2026-07-28 05:26,163.76
Murad,2026-07-28 05:34,166.47
Sabina,2026-07-28 05:34,94.8
Sabina,2026-07-28 05:35,50.65
Ramin,2026-07-28 05:36,151.87
Rashad,2026-07-28 05:49,140.11
Sabina,2026-07-28 05:53,100.02
Murad,2026-07-28 05:56,152.46
Farid,2026-07-28 05:57,92.83
Murad,2026-07-28 05:59,149.71
